,aw_lat,aw_long,aw_city,aw_state,aw_zip,aw_coord,aw_zip_str,miles_aw_to_aw
0,33.43332425,-112.20779650534851,Phoenix,Arizona,85043,"(33.43, -112.21)",85043,1.3455451191992884
1,33.4121962,-112.42193756813579,Goodyear,Arizona,85338,"(33.41, -112.42)",85338,11.172896275601403
2,33.43119215503821,-112.15656929556611,Phoenix,Arizona,85043,"(33.43, -112.16)",85043,0.0
3,33.448519399999995,-112.2211793,Phoenix,Arizona,85043,"(33.45, -112.22)",85043,0.899317044267959
4,33.431179952419065,-112.15949317869877,Phoenix,Arizona,85043,"(33.43, -112.16)",85043,0.0
5,33.441741658291456,-112.22957998492464,Tolleson,Arizona,85353,"(33.44, -112.23)",85353,0.899317044267959
6,34.12841087755102,-117.42259173469387,Rialto,California,92376,"(34.13, -117.42)",92376,1.1463529619202812
7,34.079646000000004,-117.27532067336685,San Bernardino,California,92408,"(34.08, -117.28)",92408,0.0
8,37.7348257,-121.53148459999998,Tracy,California,95377,"(37.73, -121.53)",95377,7.153729203028467
9,34.077563299999994,-117.23301609999999,San Bernardino,California,92408,"(34.08, -117.23)",92408,0.8966292117561966
10,37.470060100000005,-121.164331,Patterson,California,95363,"(37.47, -121.16)",95363,22.806409186748386
11,37.743004799999994,-121.4047365,Tracy,California,95304,"(37.74, -121.4)",95304,7.153729203028467
12,37.52274876484464,-122.01438791726791,Newark,California,94560,"(37.52, -122.01)",94560,0.0
13,37.9166607,-121.25040435,Stockton,California,95206,"(37.92, -121.25)",95206,14.880892461680139
14,34.0814685,-117.201434,Redlands,California,92374,"(34.08, -117.2)",92374,1.7205412183974294
15,33.881378399999996,-117.29447859999999,March Air Reserve Base,California,92518,"(33.88, -117.29)",92518,2.9559347362621127
16,34.079646000000004,-117.27532067336685,San Bernardino,California,92408,"(34.08, -117.28)",92408,0.0
17,34.079646000000004,-117.27532067336685,San Bernardino,California,92408,"(34.08, -117.28)",92408,0.0
18,37.52274876484464,-122.01438791726791,Newark,California,94560,"(37.52, -122.01)",94560,0.0
19,33.86658169789471,-117.23708735289637,Moreno Valley,California,92551,"(33.87, -117.24)",92551,0.0
20,34.12702758558213,-117.40116311524523,Rialto,California,92376,"(34.13, -117.4)",92376,1.1463529619202812
21,39.76768665,-104.7557950513125,Aurora,Colorado,80011,"(39.77, -104.76)",80011,3.3723548985358685
22,39.743461514279375,-104.71318452955255,Aurora,Colorado,80019,"(39.74, -104.71)",80019,3.3723548985358685
23,39.7945205,-104.98104795,Denver,Colorado,80216,"(39.79, -104.98)",80216,11.791863327064332
24,41.876107,-72.694975,Windsor,Connecticut,6095,"(41.88, -72.69)",6095,27.157964942528157
25,41.4868071,-72.7630022,Wallingford,Connecticut,6492,"(41.49, -72.76)",6492,7.233045085157342
26,41.407188130378366,-72.84521501106487,North Haven,Connecticut,6473,"(41.41, -72.85)",6473,7.233045085157342
27,39.662698,-75.588325,New Castle,Delaware,19720,"(39.66, -75.59)",19720,0.0
28,39.662110663471324,-75.5877612827566,New Castle,Delaware,19720,"(39.66, -75.59)",19720,0.0
29,39.443452799999996,-75.7390241,Middletown,Delaware,19709,"(39.44, -75.74)",19709,1.745832115807608
30,39.4559445,-75.7187088,Middletown,Delaware,19709,"(39.46, -75.72)",19709,1.745832115807608
31,27.7241974434602,-82.39275260266555,Ruskin,Florida,33570,"(27.72, -82.39)",33570,28.887930065954112
32,28.020405465339728,-82.05553738019398,Plant City,Florida,33566,"(28.02, -82.06)",33566,0.0
33,28.020405465339728,-82.05553738019398,Plant City,Florida,33566,"(28.02, -82.06)",33566,0.0
34,30.4653236,-81.68029390000002,Jacksonville,Florida,32218,"(30.47, -81.68)",32218,9.030853602139137
35,30.3821120009228,-81.78788431182106,Jacksonville,Florida,32219,"(30.38, -81.79)",32219,9.030853602139137
36,33.7962248,-84.640658,Lithia Springs,Georgia,30122,"(33.8, -84.64)",30122,13.660676284383012
37,33.568814829853416,-84.53943522521547,Union City,Georgia,30291,"(33.57, -84.54)",30291,5.347502476120029
38,34.10540731891049,-83.77667531855853,Braselton,Georgia,30517,"(34.11, -83.78)",30517,9.26216049899379
39,41.4808934,-88.0759124,Joliet,Illinois,60433,"(41.48, -88.08)",60433,0.863457432297482
40,41.48554229999999,-88.0694809,Joliet,Illinois,60433,"(41.49, -88.07)",60433,0.863457432297482
41,41.674068833333344,-88.11770666666666,Romeoville,Illinois,60446,"(41.67, -88.12)",60446,0.0
42,38.77187085,-90.04064684767636,Edwardsville,Illinois,62025,"(38.77, -90.04)",62025,2.9910100855423623
43,38.7973679,-90.07637829999999,Hartford,Illinois,62048,"(38.8, -90.08)",62048,0.0
44,38.7973679,-90.07637829999999,Hartford,Illinois,62048,"(38.8, -90.08)",62048,0.0
45,41.426755146576184,-87.77108285445105,,Illinois,60449,"(41.43, -87.77)",60449,16.11523529131921
46,41.81500435,-88.21276520465292,Aurora,Illinois,60502,"(41.82, -88.21)",60502,11.349306576076314
47,39.70837085714286,-86.3462687142857,Plainfield,Indiana,46168,"(39.71, -86.35)",46168,0.0
48,39.708385408163274,-86.34626895918367,Plainfield,Indiana,46168,"(39.71, -86.35)",46168,0.0
49,39.75455704597701,-86.28910116091956,Indianapolis,Indiana,46231,"(39.75, -86.29)",46231,4.222685343734403
50,38.37880535,-85.6868243,Jeffersonville,Indiana,47130,"(38.38, -85.69)",47130,6.577030593675176
51,38.92240213439838,-94.78181316565949,Lenexa,Kansas,66219,"(38.92, -94.78)",66219,0.0
52,39.102365,-94.73927226530613,Kansas City,Kansas,66102,"(39.1, -94.74)",66102,12.601988978953289
53,37.32801126608095,-85.35168765525495,Campbellsville,Kentucky,42718,"(37.33, -85.35)",42718,47.06647579573276
54,38.1951343,-85.69271712333497,Louisville,Kentucky,40213,"(38.2, -85.69)",40213,6.57782823181547
55,39.0846526,-84.71347803083603,Hebron,Kentucky,41048,"(39.08, -84.71)",41048,0.0
56,39.0849526,-84.71492409999999,Hebron,Kentucky,41048,"(39.08, -84.71)",41048,0.0
57,39.0600057171595,-84.71357387388001,Hebron,Kentucky,41048,"(39.06, -84.71)",41048,0.8746803517507356
58,38.0778404,-84.53310909999999,Lexington,Kentucky,40511,"(38.08, -84.53)",40511,1.2902368788642895
59,38.07406747086827,-84.54651541547122,Lexington,Kentucky,40511,"(38.07, -84.55)",40511,1.2902368788642895
60,37.978102,-85.683543,Shepherdsville,Kentucky,40165,"(37.98, -85.68)",40165,0.0
61,37.9638046,-85.6758038,Shepherdsville,Kentucky,40165,"(37.96, -85.68)",40165,1.379393206413372
62,39.26765755,-76.54904529607478,Baltimore,Maryland,21224,"(39.27, -76.55)",21224,0.0
63,39.271657,-76.552755,Baltimore,Maryland,21224,"(39.27, -76.55)",21224,0.0
